;AL;AMMC;CCP;CMP;CVLP;DLP;DMP;EB;FB;IDFP;LH;LOB;LOP;MB;MED;NOD;OG;OPTU;PAN;PCB;SDFP;SOG;SPP;VLP-D;VLP-V;VMP;al;ammc;ccp;cmp;cvlp;dlp;dmp;idfp;lh;lob;lop;mb;med;nod;og;optu;pan;sdfp;sog;spp;vlp-d;vlp-v;vmp
SOG;82,68675976;206,8373785;208,2857859;110,8968934;203,4293397;367,9646348;631,8713465;7,828427125;42,81023179;159,685373;428,3461248;88,92167329;20,19688027;113,627778;288,4857194;7,828427125;0;7,196152423;20,94396667;1;592,0583421;0;377,6177389;558,6695634;42,1965073;270,0086982;26,0690327;194,84772;38,12423656;121,3199515;224,0808733;136,1528195;90,83443253;35,39091161;149,7877698;4,449489743;0;43,8574158;149,819577;9;8,874007874;2,828427125;9,031865978;381,0363614;691,3372335;47,49104519;158,3725129;71,78611801;204,7843908
SPP;45,34553678;59,79695179;187,6407948;39,20106229;160,3519039;470,3635125;574,7368027;23,68001888;189,6294184;72,52586328;272,6754471;115,3884963;13,79008766;126,4975168;302,2531407;4,741657387;21,02857357;99,70368745;62,76517247;0;782,3987735;154,5017502;0;422,5533496;11,29981517;305,7442051;19,34635306;7,284743575;80,69061418;0;19,42933253;166,4183591;445,3669214;43,96383228;43,85269484;1,414213562;0;60,78152016;0;7,313193048;4;15,33760208;1,732050808;254,385682;77,85658908;157,8110437;252,7632678;11,99721881;110,3479972
VLP-D;40,99240751;162,5146889;220,316839;112,6782018;318,1496989;555,827679;890,7373044;17,38116145;136,409228;100,2842495;328,5145947;1203,685383;198,4319008;74,64464792;464,7385314;15,04722878;259,9773223;238,8468758;73,90568365;0;567,212225;409,8017712;509,7868515;0;451,7572409;572,8460487;1;51,93586867;121,6598576;21,49811339;169,7816079;221,413908;609,3623348;48,74578036;14,51662804;12,63457961;4,377802119;14,8602931;2;8,424181237;21,23315994;6,287196909;1,414213562;102,3083709;116,6250191;187,3301608;833,4656766;79,70484234;251,7060274
VLP-V;13,86157659;109,1491757;34,1856385;33,46640106;87,91563915;151,9679261;148,5726917;6,605551275;13,97383806;10,56719601;80,01098575;27,51726728;0;15,9780721;23,39222149;3,872983346;23,85165109;10,4322204;16,20030802;0;37,58775191;217,6082569;103,3835997;891,1276496;0;101,3732837;0;34,16454083;13,42741052;5,398345638;34,90223095;55,37128166;88,67069782;4,898979486;0;1,414213562;0;4,472135955;0;0;7,099771283;0;1,414213562;16,01933308;42,08918502;60,28116868;238,924053;60,65570944;10,59454166
VMP;75,92337357;273,6490854;693,2657689;360,5538647;903,9981351;325,4700251;1713,084256;49,84225269;112,9107777;372,5837913;484,5587625;542,5702749;182,0660968;231,3943684;1056,494383;24,39280197;13,8697726;123,961581;54,52891051;12,88311509;456,9609801;511,8867653;770,7902527;919,3845793;29,77204585;0;14,76763835;245,9506089;1258,016904;155,3517397;547,4406294;16,89834923;1690,811998;93,46855117;44,17680712;79,30073868;28,61526256;39,77915476;454,8574064;13,98063062;10,89632202;25,44906434;5,385164807;135,2670823;269,7645342;60,4199016;270,8017096;60,6862241;1242,008341
al;295,4115247;10,03867467;23,55045874;0;5,449489743;7,560477932;25,19954609;8,714776642;8,498165341;50,34926805;71,3597179;0;0;43,82328558;0;2;0;3,863703305;15,90237798;6,16227766;26,48009138;41,53980598;41,69458859;10,24482802;0;48,73281401;0;16,57371003;24,07122482;3,414213562;88,97776718;173,5874985;170,4134607;150,4672271;2574,133734;18,24828759;0;917,513757;4,242640687;0;0;37,60992978;88,24351287;281,6050344;88,65758922;382,1456517;205,8309664;18,85300667;73,66057875
ammc;24,46891443;400,6064437;38,97906154;81,05647346;677,4669012;2,828427125;97,07111744;3,414213562;13,14235334;43,23799518;12,19628409;3,741657387;0;14,55923352;63,18399483;0;2,236067977;0;5,242640687;2,414213562;33,85054503;149,2442503;43,70111017;160,2865127;72,19692642;119,1164317;8,433461279;0;50,06424718;261,279516;1097,583135;49,13964694;230,0381104;23,10664218;106,2190242;32,673073;19,72380529;36,32258195;194,4218142;1;13,85502769;3,14626437;8,984298074;36,83861836;202,599389;149,0115092;309,6623288;93,16919302;244,1351989
ccp;8,660254038;78,14748988;897,1673327;94,01974516;347,920673;25,03333477;1222,583587;47,76702942;152,2480124;546,1071799;16,15158785;176,3225422;21,49138367;24,94614402;129,0768051;27,04915909;3,449489743;37,00058459;7,069652891;56,15153135;99,17330323;100,509481;78,82135961;134,5036404;7,611767403;625,9535375;24,72830197;103,3315634;0;67,74690889;368,8243255;61,10963606;804,5848416;340,9016736;83,10575696;163,1936752;27,85106365;64,21304147;410,6738997;3,14626437;20,42389261;48,18281875;26,05741256;222,7574181;114,1070016;223,0494196;400,2993916;59,99753668;536,5744455
cmp;13,31526011;113,2962594;27,16958304;158,8053282;265,6898112;0;75,19804357;2,414213562;15,3160512;13,24603565;0;6,236067977;2,236067977;3,732050808;2,828427125;2;0;0;3,16227766;3,16227766;12,7865747;140,6864539;20,2014759;32,93890358;9,990704785;113,1040291;4,560477932;114,3868514;65,55190704;0;434,8377671;53,38291217;438,5796407;147,2139054;130,0019913;91,40346189;128,1112218;61,57510757;260,2838942;7,449489743;2;10,88634952;11,1698178;53,41221778;157,5493362;202,3704581;344,0635387;19,38761092;258,3451201
cvlp;33,87858924;199,6500569;616,8860532;190,6335325;1480,684799;3,414213562;839,5026363;31,4576772;172,9700602;155,1573341;0;47,07166981;8,831760866;16,03427207;3;26,1644766;5,977725364;2,828427125;5,277916868;11,37769297;54,16709011;153,0036155;83,3234882;300,1213749;63,88424026;679,8387955;33,62475024;304,4550402;445,0206077;409,075705;0;157,9195069;1521,363831;538,6979211;366,2473919;357,167058;529,6873155;201,5902567;996,774669;43,82553914;30,30872625;90,10853209;46,06657274;301,9161797;281,8326433;535,308437;1219,691316;102,3262512;977,5268266
